url_name,mean,median
detect_vulnerability,88.44444444444444,69
elemental_sandstorm,32.5,32.5
steel_fiber,52.666666666666664,40
magazine_extension,22.75,23.5
concealed_explosives,11.31578947368421,10
primed_ravage,130.0212765957447,100.0
depleted_reload,11.565217391304348,5
helios_prime_carapace,9.9,8.0
wyrm_prime_systems,92.14285714285714,80
trinity_prime_neuroptics,34.5,36.5
mind_freak,24.555555555555557,20
fang_prime_handle,13.285714285714286,10
streamline,10.4375,7.5
insulation,16.5,15.0
pressurized_magazine,9.333333333333334,10
ambush_optics_(rubico),42.111111111111114,40
nyx_prime_chassis,15.545454545454545,10
capacitance,22.733333333333334,19
shell_compression,15.714285714285714,13
loki_prime_chassis,75.0909090909091,65
bore,64.25,80.0
signal_flare,err,err
lightning_dash,100.64285714285714,100.0
mag_prime_chassis,40,28
snipetron_vandal_set,83.3125,55.0
battering_maneuver,18,13.0
piercing_step,16.75,15.5
fireball_frenzy,27.88888888888889,20
lasting_purity,34.4,30.0
energy_siphon,42.13333333333333,40
stalk,37.625,45.0
magazine_warp,17.833333333333332,18.0
infiltrate,23.416666666666668,15.0
coiling_viper,9.166666666666666,5.0
primed_pressure_point,146.0754716981132,165
cold_snap,14.304347826086957,10
hells_chamber,9.16,7.0
stockpiled_blight,34.8,29
nami_skyla_prime_handle,26.333333333333332,19.0
fracturing_wind,8,5
fulmination,182,182.0
ammo_drum,10009.545454545454,10
sovereign_outcast,15.105263157894736,10.0
gladiator_might,33,25
heavy_impact,10.3,7.5
thunderbolt,8.133333333333333,7
pool_of_life,31.75,22.5
entropy_burst,21,16.5
fatal_attraction,18,19.0
seismic_palm,9.722222222222221,7.5
pressure_point,10.9,9.5
modified_munitions,30.428571428571427,20
natural_talent,19.45945945945946,15
flechette,16.666666666666668,18.0
shimmering_blight,10.153846153846153,5
justice_blades,22.571428571428573,15
buzz_kill,23.227272727272727,15.0
pyrana_prime_blueprint,63.666666666666664,39.5
pyrana_prime_receiver,11.0625,10.0
pyrana_prime_barrel,12,10
destreza_prime_set,95.5,70.0
primed_expel_grineer,256.375,259.5
primed_expel_corpus,179.36111111111111,187.0
primed_expel_infested,246.1,219.5
primed_expel_corrupted,181.33333333333334,140
quaking_hand,err,err
flame_gland,32.125,21.5
dividing_blades,err,err
smooth_phasmin,4.333333333333333,2
arcane_pulse,44.333333333333336,40.0
sudden_justice,20,20
blood_rush,55.18181818181818,40
shrapnel_shot,41.5,17.0
coolant_leak,24.2,21
ward_recovery,err,err
primed_heated_charge,179.02439024390245,198
neutron_star,19.454545454545453,15.0
skull_shots_(viper),34.2,35
loki_prime_neuroptics,58.25,59.0
vigilante_fervor,21.904761904761905,10
ankyros_prime_blade,22.444444444444443,20
ankyros_prime_gauntlet,27.833333333333332,21.0
bo_prime_blueprint,25.375,24.5
silva_and_aegis_prime_guard,48,39
vicious_frost,16.34375,10.0
jagged_edge,10.833333333333334,9.0
shield_disruption,42.833333333333336,39.5
magus_vigor,31.727272727272727,18
shotgun_spazz,20,19.5
arcane_swindle_loki_helmet,625,625.0
gladiator_vice,22.074074074074073,15
arcane_meridian_trinity_helmet,150,150
legendary_fusion_core,191.23529411764707,170
tigris_prime_stock,14,10.0
spinning_needle,13.047619047619047,10
snipetron_vandal_stock,36.75,29.5
wildfire,12,10.0
bane_of_grineer,15.142857142857142,10
scimitar_avionics,18.875,15.0
reflex_guard,56.68421052631579,15
everlasting_ward,28.2,22.5
ash_prime_neuroptics,17.833333333333332,15.0
jolt,81.5,75.0
vectis_prime_stock,32.63636363636363,25
stunning_speed,13,10
primed_continuity,154.4,169.5
bo_prime_handle,33.166666666666664,20.0
crash_course,19.53846153846154,14
vital_systems_bypass,70,70
singularity,25.75,24.0
armored_acrobatics,err,err
lethal_momentum,21.363636363636363,15
primed_bane_of_infested,220.16666666666666,175.0
primed_bane_of_corpus,150.04347826086956,150.0
carrier_prime_blueprint,21.181818181818183,15
vulpine_mask,8,5.0
primed_bane_of_grineer,281.45454545454544,294.5
vectis_prime_barrel,43.125,32.5
tactical_pump,19.2,22
arcane_menticide_nyx_helmet,150,150
arcane_aurora_frost_helmet,161.66666666666666,95
soma_prime_blueprint,12.722222222222221,10.0
unleashed,24.833333333333332,10.0
vasto_prime_barrel,27.666666666666668,18
arcane_chorus_banshee_helmet,222.5,185.0
vasto_prime_blueprint,45.666666666666664,48
entropy_flight,26,24.5
saryn_prime_set,150.5,130.0
poppin_vert,38.285714285714285,20
magus_repair,100.64,125
magus_glitch,136.36363636363637,169
perfect_balance,83.85714285714286,20
strain_consume,27.25,15.0
zaw_riven_mod_(veiled),9,9
wolf_sledge_blueprint,173.14285714285714,198
magus_overload,136.88888888888889,150
molecular_fission,21.6,16
wolf_sledge_motor,172.83333333333334,198.5
wild_frenzy,213,200
napalm_grenades,133,124.0
tipedo_prime_handle,44.833333333333336,24.5
stradavar_prime_set,85.15,47.0
equinox_prime_blueprint,16.357142857142858,15.0
bronco_prime_barrel,7.75,5.0
war_hilt,17,5
nova_prime_systems,16.75,10.0
frost_prime_blueprint,104.14285714285714,100
bronco_prime_blueprint,5.545454545454546,3
astral_twilight,18.428571428571427,14
snap_shot,37,40
burston_prime_receiver,5.866666666666666,4
fang_prime_blade,9.833333333333334,7.0
vauban_prime_neuroptics,74.25,64.5
hikou_prime_stars,12.428571428571429,10
intruder,11.428571428571429,5
prisma_angstrum,139,100.5
phaedra_stock,25.857142857142858,14
scorch,23.136363636363637,20.0
entropy_spike,22.25,15.0
eleventh_storm,20.555555555555557,15
nova_prime_neuroptics,21.666666666666668,17.5
antimatter_mine,err,err
nova_prime_chassis,84.92307692307692,70
prism_guard,54,50.0
trick_mag,16.333333333333332,15.0
nova_prime_blueprint,20.416666666666668,15.0
deceptive_bond,49.8,49
frost_prime_neuroptics,13.866666666666667,10
arcane_squall_frost_helmet,340,340
calculated_redirection,48.30769230769231,40
charged_shell,15.4,15.0
cleanse_corpus,17.625,14.5
searing_steel,70.44444444444444,60
accelerated_deflection,29.444444444444443,10
clashing_forest,12.615384615384615,10
primal_rage,23,20.0
celestial_stomp,23.7,19.5
secura_penta,79.22222222222223,40
razor_shot,7,4
creeping_terrify,30.363636363636363,20
trinity_prime_blueprint,42.888888888888886,30
grim_fury,16.77777777777778,10
ayatan_orta_sculpture,12.928571428571429,10.0
energy_channel,11.117647058823529,5
hallowed_reckoning,29.25,25.0
convulsion,13.7,9.5
arcane_fury,222.63636363636363,336.5
rapid_resilience,12.928571428571429,9.5
pistol_pestilence,17.071428571428573,10.0
primed_morphic_transformer,163.10714285714286,180.0
frail_momentum,10.727272727272727,5.0
pathogen_rounds,18.4,10.0
arcane_aegis,197.61290322580646,240
sudden_impact,19.8,22
arcane_consequence,17.225806451612904,10
tempered_blade,17.3,17.0
smite_corpus,24.25,26.0
arcane_energize,1347.7105263157894,1250.0
fanged_fusillade,24.68421052631579,10
gladiator_resolve,14.514285714285714,10
ghost,19.666666666666668,19.0
rime_rounds,51.642857142857146,49.5
vulkar_wraith,146.36363636363637,120
ayatan_piv_sculpture,13.75,8.5
negation_swarm,24.875,19.5
blunderbuss,10,5
sybaris_prime_barrel,54.714285714285715,40
centaur_aegis,25,25
cephalon_suda_augment_mod,10,10
banshee_prime_chassis,38.357142857142854,31.5
chilling_grasp,12.636363636363637,8
wukong_prime_chassis,14.333333333333334,10
blazing_steel,22.666666666666668,15.5
fired_up,10.153846153846153,4
shattering_storm,16.166666666666668,12.5
sense_danger,12.666666666666666,8
bullet_dance,61.27272727272727,54
twin_vipers_wraith_blueprint,29.125,16.0
split_chamber,8.227272727272727,6.0
north_wind,14.333333333333334,11.0
shotgun_scavenger,40.4,40.0
synoid_gammacor,73,50
helios_prime_set,83.88461538461539,72.5
rakta_ballistica,95.33333333333333,85.0
hydroid_prime_neuroptics,20.88888888888889,20
greedy_pull,23.22222222222222,17.0
silva_and_aegis_prime_set,98.4,75
sanctuary,59.92857142857143,5.0
tether_grenades,10.583333333333334,10.0
aviator,16.923076923076923,8
swooping_falcon,21.11111111111111,15
constitution,23.75,17.5
smite_infusion,25.333333333333332,17.0
kavasa_prime_kubrow_collar_set,87,69
latron_prime_set,72.375,58.0
lex_prime_set,17.82758620689655,10
odonata_prime_set,108.33333333333333,65
gun_glide,24,12
rime_vault,err,err
vanquished_prey,err,err
voltaic_lance,err,err
deft_tempo,90,90
double_tap,58.333333333333336,50
final_act,42.5,42.5
final_tap,200,200
hydraulic_chamber,13.666666666666666,15
hydraulic_gauge,err,err
loose_hatch,err,err
narrow_barrel,20.5,17.5
strun_wraith_barrel,70,70
eidolon_zenurik_lens,91,75
destreza_prime_handle,11.428571428571429,10
enhanced_durability,15.923076923076923,10
speed_holster,60,60
arcane_strike,64.81538461538462,70
sinister_reach,14.5,11.0
vectis_prime_set,181.26666666666668,135
carving_mantis,19.125,15.0
primed_pack_leader,180.8695652173913,198
arcane_nullifier,83.5952380952381,80.0
rhino_prime_set,149.51724137931035,120
sicarus_prime_set,97.35714285714286,60.0
grinloked,7,7
arcane_victory,21.625,20.0
hastened_steps,err,err
lie_in_wait,err,err
boltor_prime_receiver,14.333333333333334,10.0
boltor_prime_stock,14.666666666666666,9
night_stalker,err,err
synoid_heliocor,59,45
elytron_systems,25,25
steel_meridian_augment_mod,29,29
shadow_harvest,err,err
argent_scourge,err,err
tigris_prime_barrel,10,10
eject_magazine,34.6,23.5
plan_b,10,10
burning_wasp,10.5,5.0
sharpened_bullets,18.333333333333332,15.0
ripper_rounds,err,err
soma_prime_receiver,25.333333333333332,16
reaping_spiral,10.826086956521738,10
soma_prime_stock,40.57142857142857,35
sharpened_blade,err,err
strafing_slide,30.142857142857142,22
scimitar_set,93.6,70
surplus_diverters,err,err
cataclysmic_continuum,23.09090909090909,20
braton_prime_set,19,15
relentless_assault,err,err
silva_and_aegis_prime_hilt,10.153846153846153,10
calculated_spring,err,err
comet_rounds,err,err
hydroid_prime_chassis,14.333333333333334,10
aklex_prime_blueprint,20.625,15.0
aklex_prime_set,100.9090909090909,90
ballistica_prime_blueprint,48.2,25
